x,y,z,yaw,velocity,change_flag
2.7494,28.2211,0.5688,-2.5934,-1.2127,0
2.8563,28.2697,0.5739,-2.5700,-0.9882,0
2.9459,28.3144,0.5801,-2.5531,-1.0088,0
3.0491,28.3597,0.5738,-2.5296,-0.9397,0
3.1733,28.4261,0.5764,-2.5072,-1.5205,0
3.2788,28.4902,0.5753,-2.4857,-1.3044,0
3.3889,28.5477,0.5812,-2.4636,-1.2878,0
3.5064,28.6081,0.5820,-2.4426,-1.3207,0
3.6140,28.6657,0.5780,-2.4205,-1.0989,0
3.7204,28.7273,0.5854,-2.3991,-1.1390,0
3.7995,28.7942,0.5832,-2.3831,-1.2927,0
3.8996,28.8563,0.5867,-2.3621,-0.9436,0
3.9918,28.9092,0.5829,-2.3460,-1.2043,0
4.0708,28.9775,0.5864,-2.3305,-1.2283,0
4.1668,29.0447,0.5882,-2.3097,-1.3412,0
4.2597,29.1127,0.5871,-2.2890,-0.6183,0
4.3562,29.1867,0.5909,-2.2731,-1.6101,0
4.4395,29.2633,0.5912,-2.2517,-1.5218,0
4.5255,29.3480,0.5946,-2.2312,-0.9599,0
4.6158,29.4098,0.5955,-2.2158,-1.3665,0
4.7028,29.4953,0.5947,-2.1947,-1.2591,0
4.7890,29.5874,0.5971,-2.1743,-1.3640,0
4.8822,29.6692,0.5960,-2.1538,-1.4598,0
4.9460,29.7483,0.5994,-2.1376,-1.2355,0
5.0292,29.8364,0.6001,-2.1172,-1.1585,0
5.1121,29.9217,0.6000,-2.0962,-1.1963,0
5.1991,30.0223,0.6012,-2.0755,-1.3633,0
5.2696,30.1137,0.6060,-2.0546,-1.0087,0
5.3465,30.2188,0.6099,-2.0341,-1.1878,0
5.4318,30.3189,0.6067,-2.0131,-1.3696,0
5.4887,30.4223,0.6107,-1.9923,-0.9210,0
5.5506,30.5187,0.6173,-1.9712,-1.0175,0
5.6064,30.6049,0.6158,-1.9555,-1.4039,0
5.6654,30.6956,0.6161,-1.9353,-1.2340,0
5.7238,30.7814,0.6170,-1.9188,-1.5560,0
5.7688,30.8898,0.6194,-1.8971,-0.8576,0
5.8267,31.0011,0.6220,-1.8759,-1.2551,0
5.8803,31.0952,0.6237,-1.8547,-0.8508,0
5.9148,31.1928,0.6245,-1.8390,-0.9213,0
5.9599,31.2955,0.6252,-1.8178,-0.7973,0
6.0041,31.4227,0.6285,-1.7964,-1.5110,0
6.0438,31.5229,0.6268,-1.7744,-1.3027,0
6.0831,31.6389,0.6318,-1.7532,-1.2901,0
6.1155,31.7449,0.6336,-1.7312,-1.0371,0
6.1530,31.8437,0.6331,-1.7145,-1.2101,0
6.1720,31.9599,0.6333,-1.6926,-1.5112,0
6.1980,32.0596,0.6345,-1.6705,-0.7743,0
6.2301,32.1739,0.6385,-1.6485,-1.1764,0
6.2458,32.2940,0.6361,-1.6258,-1.1571,0
6.2663,32.4095,0.6423,-1.6033,-1.0238,0
6.2858,32.5188,0.6448,-1.5804,-0.7036,0
6.2862,32.6525,0.6474,-1.5578,-1.5078,0
6.2846,32.7604,0.6481,-1.5454,-1.1197,0
6.2877,32.8644,0.6484,-1.5454,-1.1859,0
6.2912,32.9900,0.6488,-1.5461,-1.0749,0
6.2808,33.1173,0.6560,-1.5465,-1.1071,0
6.2775,33.2423,0.6569,-1.5469,-1.2560,0
6.2752,33.3651,0.6577,-1.5471,-1.1078,0
6.2744,33.4707,0.6576,-1.5474,-1.2035,0
6.2661,33.6086,0.6608,-1.5479,-1.3918,0
6.2658,33.7345,0.6627,-1.5484,-1.1445,0
6.2599,33.8717,0.6653,-1.5484,-1.3821,0
6.2658,33.9978,0.6679,-1.5486,-1.1947,0
6.2504,34.1293,0.6685,-1.5485,-1.3822,0
6.2500,34.2605,0.6720,-1.5491,-1.4146,0
6.2499,34.3660,0.6744,-1.5493,-0.5251,0
